Activity_Period,RegionName,Passenger_Count
201508,Middle East,42853
201801,Middle East,38970
201011,South America,6079
201810,US,3674021
201807,Europe,443846
201510,Asia,372453
201103,Europe,160019
201107,Central America,13231
200803,Australia / Oceania,42385
201509,Central America,11725
201606,Europe,354652
200904,Mexico,59514
201108,Canada,149236
200902,Mexico,47715
201009,Central America,8580
200509,Australia / Oceania,25922
200902,Middle East,4780
201002,Asia,268664
201003,Europe,147688
201412,US,3041095
201501,Canada,87290
201805,Asia,466132
200507,Asia,359514
201512,Canada,104378
200904,Middle East,6390
201010,Central America,8353
201706,Mexico,129378
201109,Europe,246230
200710,Australia / Oceania,41809
200911,US,2359949
200601,Mexico,62940
201802,US,2963364
201101,Asia,337109
200606,Central America,9776
201706,Middle East,42387
200603,Mexico,62925
200704,US,2135262
201306,South America,5487
200608,US,2329326
201904,Australia / Oceania,71637
201212,US,2711230
201008,Central America,12654
201603,Canada,100735
201102,South America,5894
201402,Australia / Oceania,33490
201409,Canada,141555
200510,Canada,85214
201605,Middle East,38493
201605,Mexico,83879
201909,Australia / Oceania,67394
201405,US,3211422
201312,US,3037334
201511,Australia / Oceania,29870
200806,Canada,116053
201110,US,2829239
200804,Mexico,56187
200610,US,2125701
201307,Australia / Oceania,38422
201309,Europe,285642
201205,Middle East,18993
201304,Middle East,15632
201205,Mexico,73243
201304,Mexico,66317
200907,US,2821379
201203,South America,6068
201301,South America,3920
200709,Asia,334082
201611,Mexico,106571
200605,US,2098827
200809,Central America,7620
201604,Asia,378083
201504,US,3155573
201601,Australia / Oceania,50659
200712,US,2144133
201106,Europe,251296
201404,Europe,227225
201611,Middle East,46898
201304,South America,5107
201205,South America,5770
201202,Central America,9819
201903,Middle East,40272
201301,Mexico,70522
201708,Asia,494041
201203,Mexico,71481
201103,Australia / Oceania,37506
200609,Central America,6236
200801,Central America,11168
200803,Europe,193641
201005,US,2604074
201301,Middle East,19958
201606,Australia / Oceania,47817
201203,Middle East,18985
200802,Mexico,51391
201209,Canada,129399
201807,Australia / Oceania,60053
201210,Asia,341710
201903,Mexico,107210
201709,US,3579260
200908,Canada,139693
201906,Central America,33081
201905,Europe,411071
201806,Asia,502703
201308,Canada,157375
200703,Asia,355239
201406,Central America,10366
200710,Europe,207663
201102,Mexico,39423
201109,Australia / Oceania,32332
200612,Mexico,63577
201710,US,3764139
201102,Middle East,15353
201907,US,4081947
201701,Asia,441365
200607,Canada,134640
201003,Australia / Oceania,35530
200509,Europe,209730
201201,US,2491978
201401,Canada,83299
201812,Canada,115970
200602,Canada,75483
201503,US,3157697
201311,US,2760327
201407,Canada,162228
201505,US,3357598
201511,Europe,210406
201909,Europe,444038
200912,Central America,11554
201305,Asia,355814
200707,Central America,16484
201904,Europe,361647
201111,Central America,10156
201306,Mexico,71181
201310,Asia,328172
200705,Central America,8809
200711,Central America,9277
201302,US,2353427
201306,Middle East,18712
201402,Europe,147528
201007,Middle East,19502
201712,Central America,30453
201106,Australia / Oceania,31195
201404,Australia / Oceania,30452
201004,Central America,7702
201007,Mexico,63464
201601,Europe,214782
201309,Australia / Oceania,38482
201506,Middle East,42440
201602,Asia,348953
201011,Middle East,16848
201307,Europe,292200
200805,Asia,366940
201011,Mexico,40666
201506,Mexico,86671
201410,US,3216218
201302,Mexico,57924
201010,Europe,216521
200510,Asia,316462
201409,Asia,338003
201003,Central America,8263
201009,Europe,224667
201302,Middle East,17499
201306,US,3211986
201505,Mexico,80921
201503,Middle East,37351
200606,Europe,206272
201311,Middle East,18885
201406,Australia / Oceania,32537
201503,Mexico,86543
201311,Mexico,72541
201109,Central America,8473
201505,Middle East,42307
201603,Asia,380026
201011,US,2506004
201506,US,3487784
201604,Canada,104021
201906,Australia / Oceania,76751
200807,Europe,233995
201410,Mexico,58330
201410,Middle East,18601
200701,Europe,159000
201103,Central America,10781
200609,Australia / Oceania,36538
200801,Australia / Oceania,52490
201509,Europe,325720
201606,Central America,19417
200806,Asia,383360
201107,Europe,255004
201007,US,2854580
201807,Central America,37459
201202,Australia / Oceania,30406
200709,Canada,114223
201709,Middle East,36455
201309,Central America,9063
201510,Canada,131040
201709,Mexico,77017
201106,Central America,11169
201404,Central America,9755
201005,Mexico,54309
201110,South America,4184
201004,Australia / Oceania,33862
200802,US,1936772
200706,Asia,375923
201903,US,3449863
200901,Asia,332364
201712,Australia / Oceania,71387
200809,Europe,221478
201005,Middle East,18866
201301,US,2497759
200508,Asia,356959
201203,US,2760730
200711,Australia / Oceania,39285
201008,Europe,234433
201201,Mexico,72586
200912,Australia / Oceania,41780
200707,Australia / Oceania,48022
201101,Canada,83164
201111,Australia / Oceania,28175
201201,Middle East,20063
200705,Australia / Oceania,36366
201312,South America,5002
200612,US,1984825
201710,Mexico,89449
201108,Asia,367008
201907,Mexico,133392
200507,Canada,123041
201512,Asia,393220
201501,Asia,360794
201805,Canada,155283
201002,Canada,75885
201212,South America,4809
201907,Middle East,52746
201710,Middle East,39209
201102,US,2027296
201605,US,3522786
200606,Australia / Oceania,42249
201305,Canada,120107
201405,Mexico,84133
201312,Mexico,89599
201310,Canada,118638
201312,Middle East,20425
200710,Central America,9064
201201,South America,6478
201405,Middle East,20163
201406,Europe,300987
200509,Central America,7319
201212,Mexico,77377
200602,Asia,276440
201812,Asia,488177
201010,Australia / Oceania,39183
200608,Mexico,58529
201407,Asia,381099
201212,Middle East,20516
201009,Australia / Oceania,39241
201504,Mexico,88802
201602,Canada,93321
200712,Mexico,63566
200609,Europe,199437
201107,Australia / Oceania,33712
200801,Europe,166950
200803,Central America,8227
201509,Australia / Oceania,31280
201611,US,3344540
200605,Mexico,51529
200805,Canada,109595
201504,Middle East,35937
201202,Europe,127652
201906,Europe,458267
201205,US,2955858
200807,Australia / Oceania,42721
201304,US,2852814
201905,Central America,30363
200907,Mexico,54519
201110,Middle East,17180
200907,Middle East,15083
201110,Mexico,39252
200701,Australia / Oceania,51500
200804,US,2298771
200610,Mexico,46740
201601,Central America,21002
201004,Europe,152672
201810,Middle East,43165
200908,Asia,347777
201712,Europe,231777
200809,Australia / Oceania,38369
201806,Canada,193822
201810,Mexico,86791
201702,Mexico,89180
201708,Canada,217532
201408,Middle East,20871
201307,Central America,13118
201408,Mexico,96540
201508,US,3659585
201801,US,3144332
200611,US,1989899
201210,Canada,109998
201702,Middle East,35542
201209,Asia,331381
201701,Canada,91892
201909,Central America,27751
201802,Middle East,35224
200603,US,2021211
200704,Mexico,57581
201511,Central America,17091
200911,Middle East,15965
201706,US,3829335
200911,Mexico,53422
201302,South America,6079
200601,US,1777970
201401,Asia,358787
200607,Asia,362885
201802,Mexico,103018
201311,South America,4988
200703,Canada,99308
201008,Australia / Oceania,37929
201412,Mexico,86438
201308,Asia,375635
200711,Europe,173983
201402,Central America,9711
200904,US,2333638
200705,Europe,208660
200902,US,1823273
200912,Europe,136463
201412,Middle East,40368
